adjectifs,ensembles des traits morpho,catégorie
ampoulé,"[('ampoulé', 'ms'), ('ampoulée', 'fs'), ('ampoulées', 'fp'), ('ampoulés', 'mp')]",variations en genre et en nombre silencieuses
ampullaire,"[('ampullaire', 's'), ('ampullaires', 'p')]",variations en genre et en nombre silencieuses
amputé,"[('amputé', 'ms'), ('amputée', 'fs'), ('amputées', 'fp'), ('amputés', 'mp')]",variations en genre et en nombre silencieuses
amstellodamien,"[('amstellodamien', 'ms'), ('amstellodamienne', 'fs'), ('amstellodamiennes', 'fp'), ('amstellodamiens', 'mp')]",variations en genre audible et en nombre silencieuses
amstellodamois,"[('amstellodamois', 'm'), ('amstellodamoise', 'fs'), ('amstellodamoises', 'fp')]",variations en genre audible et en nombre silencieuses
amusant,"[('amusant', 'ms'), ('amusante', 'fs'), ('amusantes', 'fp'), ('amusants', 'mp')]",variations en genre audible et en nombre silencieuses
amusé,"[('amusé', 'ms'), ('amusée', 'fs'), ('amusées', 'fp'), ('amusés', 'mp')]",variations en genre et en nombre silencieuses
amylacé,"[('amylacé', 'ms'), ('amylacée', 'fs'), ('amylacées', 'fp'), ('amylacés', 'mp')]",variations en genre et en nombre silencieuses
amylique,"[('amylique', 's'), ('amyliques', 'p')]",variations en genre et en nombre silencieuses
amène,"[('amène', 's'), ('amènes', 'p')]",variations en genre et en nombre silencieuses
améliorable,"[('améliorable', 's'), ('améliorables', 'p')]",variations en genre et en nombre silencieuses
améliorant,"[('améliorant', 'ms'), ('améliorante', 'fs'), ('améliorantes', 'fp'), ('améliorants', 'mp')]",variations en genre audible et en nombre silencieuses
aménageable,"[('aménageable', 's'), ('aménageables', 'p')]",variations en genre et en nombre silencieuses
américain,"[('américain', 'ms'), ('américaine', 'fs'), ('américaines', 'fp'), ('américains', 'mp')]",variations en genre audible et en nombre silencieuses
américaniste,"[('américaniste', 's'), ('américanistes', 'p')]",variations en genre et en nombre silencieuses
américanophile,"[('américanophile', 's'), ('américanophiles', 'p')]",variations en genre et en nombre silencieuses
amérindien,"[('amérindien', 'ms'), ('amérindienne', 'fs'), ('amérindiennes', 'fp'), ('amérindiens', 'mp')]",variations en genre audible et en nombre silencieuses
améthyste,"[('améthyste', '')]",variations en genre et en nombre silencieuses
amétrope,"[('amétrope', 's'), ('amétropes', 'p')]",variations en genre et en nombre silencieuses
anabaptiste,"[('anabaptiste', 's'), ('anabaptistes', 'p')]",variations en genre et en nombre silencieuses
anabolisant,"[('anabolisant', 'ms'), ('anabolisante', 'fs'), ('anabolisantes', 'fp'), ('anabolisants', 'mp')]",variations en genre audible et en nombre silencieuses
anachorétique,"[('anachorétique', 's'), ('anachorétiques', 'p')]",variations en genre et en nombre silencieuses
anachronique,"[('anachronique', 's'), ('anachroniques', 'p')]",variations en genre et en nombre silencieuses
anacréontique,"[('anacréontique', 's'), ('anacréontiques', 'p')]",variations en genre et en nombre silencieuses
anaglyptique,"[('anaglyptique', 's'), ('anaglyptiques', 'p')]",variations en genre et en nombre silencieuses
anagogique,"[('anagogique', 's'), ('anagogiques', 'p')]",variations en genre et en nombre silencieuses
anagrammatique,"[('anagrammatique', 's'), ('anagrammatiques', 'p')]",variations en genre et en nombre silencieuses
anal,"[('anal', 'ms'), ('anale', 'fs'), ('anales', 'fp'), ('anaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
analeptique,"[('analeptique', 's'), ('analeptiques', 'p')]",variations en genre et en nombre silencieuses
analgésique,"[('analgésique', 's'), ('analgésiques', 'p')]",variations en genre et en nombre silencieuses
anallergique,"[('anallergique', 's'), ('anallergiques', 'p')]",variations en genre et en nombre silencieuses
analogique,"[('analogique', 's'), ('analogiques', 'p')]",variations en genre et en nombre silencieuses
analogue,"[('analogue', 's'), ('analogues', 'p')]",variations en genre et en nombre silencieuses
analphabète,"[('analphabète', 's'), ('analphabètes', 'p')]",variations en genre et en nombre silencieuses
analysable,"[('analysable', 's'), ('analysables', 'p')]",variations en genre et en nombre silencieuses
analytique,"[('analytique', 's'), ('analytiques', 'p')]",variations en genre et en nombre silencieuses
anaphorique,"[('anaphorique', 's'), ('anaphoriques', 'p')]",variations en genre et en nombre silencieuses
anaphrodisiaque,"[('anaphrodisiaque', 's'), ('anaphrodisiaques', 'p')]",variations en genre et en nombre silencieuses
anaphylactique,"[('anaphylactique', 's'), ('anaphylactiques', 'p')]",variations en genre et en nombre silencieuses
anarchique,"[('anarchique', 's'), ('anarchiques', 'p')]",variations en genre et en nombre silencieuses
anarchisant,"[('anarchisant', 'ms'), ('anarchisante', 'fs'), ('anarchisantes', 'fp'), ('anarchisants', 'mp')]",variations en genre audible et en nombre silencieuses
anarchiste,"[('anarchiste', 's'), ('anarchistes', 'p')]",variations en genre et en nombre silencieuses
anarcho-syndicaliste,"[('anarcho-syndicaliste', 's'), ('anarcho-syndicalistes', 'p')]",variations en genre et en nombre silencieuses
anastigmat,"[('anastigmat', 'ms'), ('anastigmate', 'fs'), ('anastigmates', 'fp'), ('anastigmats', 'mp')]",variations en genre audible et en nombre silencieuses
anastomosé,"[('anastomosé', 'ms'), ('anastomosée', 'fs'), ('anastomosées', 'fp'), ('anastomosés', 'mp')]",variations en genre et en nombre silencieuses
anathème,"[('anathème', 's'), ('anathèmes', 'p')]",variations en genre et en nombre silencieuses
anatolien,"[('anatolien', 'ms'), ('anatolienne', 'fs'), ('anatoliennes', 'fp'), ('anatoliens', 'mp')]",variations en genre audible et en nombre silencieuses
anatomique,"[('anatomique', 's'), ('anatomiques', 'p')]",variations en genre et en nombre silencieuses
anaérobie,"[('anaérobie', 's'), ('anaérobies', 'p')]",variations en genre et en nombre silencieuses
ancestral,"[('ancestral', 'ms'), ('ancestrale', 'fs'), ('ancestrales', 'fp'), ('ancestraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
ancien,"[('ancien', 'ms'), ('ancienne', 'fs'), ('anciennes', 'fp'), ('anciens', 'mp')]",variations en genre audible et en nombre silencieuses
ancillaire,"[('ancillaire', 's'), ('ancillaires', 'p')]",variations en genre et en nombre silencieuses
andalou,"[('andalou', 'ms'), ('andalous', 'mp'), ('andalouse', 'fs'), ('andalouses', 'fp')]",variations en genre et en nombre silencieuses
andin,"[('andin', 'ms'), ('andine', 'fs'), ('andines', 'fp'), ('andins', 'mp')]",variations en genre audible et en nombre silencieuses
andorran,"[('andorran', 'ms'), ('andorrane', 'fs'), ('andorranes', 'fp'), ('andorrans', 'mp')]",variations en genre audible et en nombre silencieuses
andouille,"[('andouille', '')]",variations en genre et en nombre silencieuses
androcéphale,"[('androcéphale', 's'), ('androcéphales', 'p')]",variations en genre et en nombre silencieuses
androgyne,"[('androgyne', 's'), ('androgynes', 'p')]",variations en genre et en nombre silencieuses
androgène,"[('androgène', 's'), ('androgènes', 'p')]",variations en genre et en nombre silencieuses
androïde,"[('androïde', 's'), ('androïdes', 'p')]",variations en genre et en nombre silencieuses
anecdotique,"[('anecdotique', 's'), ('anecdotiques', 'p')]",variations en genre et en nombre silencieuses
anesthésiant,"[('anesthésiant', 'ms'), ('anesthésiante', 'fs'), ('anesthésiantes', 'fp'), ('anesthésiants', 'mp')]",variations en genre audible et en nombre silencieuses
anesthésique,"[('anesthésique', 's'), ('anesthésiques', 'p')]",variations en genre et en nombre silencieuses
angevin,"[('angevin', 'ms'), ('angevine', 'fs'), ('angevines', 'fp'), ('angevins', 'mp')]",variations en genre audible et en nombre silencieuses
angineux,"[('angineuse', 'fs'), ('angineuses', 'fp'), ('angineux', 'm')]",variations en genre audible et en nombre silencieuses
anglais,"[('anglais', 'm'), ('anglaise', 'fs'), ('anglaises', 'fp')]",variations en genre audible et en nombre silencieuses
anglican,"[('anglican', 'ms'), ('anglicane', 'fs'), ('anglicanes', 'fp'), ('anglicans', 'mp')]",variations en genre audible et en nombre silencieuses
anglicisant,"[('anglicisant', 'ms'), ('anglicisante', 'fs'), ('anglicisantes', 'fp'), ('anglicisants', 'mp')]",variations en genre audible et en nombre silencieuses
anglo-arabe,"[('anglo-arabe', 's'), ('anglo-arabes', 'p')]",variations en genre et en nombre silencieuses
anglo-normand,"[('anglo-normand', 'ms'), ('anglo-normande', 'fs'), ('anglo-normandes', 'fp'), ('anglo-normands', 'mp')]",invariable
anglo-saxon,"[('anglo-saxon', 'ms'), ('anglo-saxonne', 'fs'), ('anglo-saxonnes', 'fp'), ('anglo-saxons', 'mp')]",variations en genre audible et en nombre silencieuses
anglomane,"[('anglomane', 's'), ('anglomanes', 'p')]",variations en genre et en nombre silencieuses
anglophile,"[('anglophile', 's'), ('anglophiles', 'p')]",variations en genre et en nombre silencieuses
anglophobe,"[('anglophobe', 's'), ('anglophobes', 'p')]",variations en genre et en nombre silencieuses
anglophone,"[('anglophone', 's'), ('anglophones', 'p')]",variations en genre et en nombre silencieuses
angoissant,"[('angoissant', 'ms'), ('angoissante', 'fs'), ('angoissantes', 'fp'), ('angoissants', 'mp')]",variations en genre audible et en nombre silencieuses
angoissé,"[('angoissé', 'ms'), ('angoissée', 'fs'), ('angoissées', 'fp'), ('angoissés', 'mp')]",variations en genre et en nombre silencieuses
angolais,"[('angolais', 'm'), ('angolaise', 'fs'), ('angolaises', 'fp')]",variations en genre audible et en nombre silencieuses
angora,"[('angora', ''), ('angoras', 'p')]",variations en genre et en nombre silencieuses
angoumois,"[('angoumois', 'm'), ('angoumoise', 'fs'), ('angoumoises', 'fp')]",variations en genre audible et en nombre silencieuses
anguiforme,"[('anguiforme', 's'), ('anguiformes', 'p')]",variations en genre et en nombre silencieuses
angulaire,"[('angulaire', 's'), ('angulaires', 'p')]",variations en genre et en nombre silencieuses
anguleux,"[('anguleuse', 'fs'), ('anguleuses', 'fp'), ('anguleux', 'm')]",variations en genre audible et en nombre silencieuses
angustifolié,"[('angustifolié', 'ms'), ('angustifoliée', 'fs'), ('angustifoliées', 'fp'), ('angustifoliés', 'mp')]",variations en genre et en nombre silencieuses
angélique,"[('angélique', 's'), ('angéliques', 'p')]",variations en genre et en nombre silencieuses
anharmonique,"[('anharmonique', 's'), ('anharmoniques', 'p')]",variations en genre et en nombre silencieuses
anhydre,"[('anhydre', 's'), ('anhydres', 'p')]",variations en genre et en nombre silencieuses
anictérique,"[('anictérique', 's'), ('anictériques', 'p')]",variations en genre et en nombre silencieuses
animal,"[('animal', 'ms'), ('animale', 'fs'), ('animales', 'fp'), ('animaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
animalier,"[('animalier', 'ms'), ('animaliers', 'mp'), ('animalière', 'fs'), ('animalières', 'fp')]",variations en genre et en nombre silencieuses
animiste,"[('animiste', 's'), ('animistes', 'p')]",variations en genre et en nombre silencieuses
animé,"[('animé', 'ms'), ('animée', 'fs'), ('animées', 'fp'), ('animés', 'mp')]",variations en genre et en nombre silencieuses
anisotrope,"[('anisotrope', 's'), ('anisotropes', 'p')]",variations en genre et en nombre silencieuses
anisé,"[('anisé', 'ms'), ('anisée', 'fs'), ('anisées', 'fp'), ('anisés', 'mp')]",variations en genre et en nombre silencieuses
ankylosant,"[('ankylosant', 'ms'), ('ankylosante', 'fs'), ('ankylosantes', 'fp'), ('ankylosants', 'mp')]",variations en genre audible et en nombre silencieuses
ankylosé,"[('ankylosé', 'ms'), ('ankylosée', 'fs'), ('ankylosées', 'fp'), ('ankylosés', 'mp')]",variations en genre et en nombre silencieuses
annal,"[('annal', 'ms'), ('annale', 'fs'), ('annales', 'fp'), ('annaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
annamite,"[('annamite', 's'), ('annamites', 'p')]",variations en genre et en nombre silencieuses
annelé,"[('annelé', 'ms'), ('annelée', 'fs'), ('annelées', 'fp'), ('annelés', 'mp')]",variations en genre et en nombre silencieuses
annexe,"[('annexe', 's'), ('annexes', 'p')]",variations en genre et en nombre silencieuses
annexionniste,"[('annexionniste', 's'), ('annexionnistes', 'p')]",variations en genre et en nombre silencieuses
anniversaire,"[('anniversaire', 's'), ('anniversaires', 'p')]",variations en genre et en nombre silencieuses
annonciateur,"[('annonciateur', 'ms'), ('annonciateurs', 'mp'), ('annonciatrice', 'fs'), ('annonciatrices', 'fp')]",invariable
annuel,"[('annuel', 'ms'), ('annuelle', 'fs'), ('annuelles', 'fp'), ('annuels', 'mp')]",variations en genre et en nombre silencieuses
annulable,"[('annulable', 's'), ('annulables', 'p')]",variations en genre et en nombre silencieuses
annulaire,"[('annulaire', 's'), ('annulaires', 'p')]",variations en genre et en nombre silencieuses
annécien,"[('annécien', 'ms'), ('annécienne', 'fs'), ('annéciennes', 'fp'), ('annéciens', 'mp')]",variations en genre audible et en nombre silencieuses
anobli,"[('anobli', 'ms'), ('anoblie', 'fs'), ('anoblies', 'fp'), ('anoblis', 'mp')]",variations en genre et en nombre silencieuses
anoblissant,"[('anoblissant', 'ms'), ('anoblissante', 'fs'), ('anoblissantes', 'fp'), ('anoblissants', 'mp')]",variations en genre audible et en nombre silencieuses
anodin,"[('anodin', 'ms'), ('anodine', 'fs'), ('anodines', 'fp'), ('anodins', 'mp')]",variations en genre audible et en nombre silencieuses
anodonte,"[('anodonte', 's'), ('anodontes', 'p')]",variations en genre et en nombre silencieuses
anomal,"[('anomal', 'ms'), ('anomale', 'fs'), ('anomales', 'fp'), ('anomaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
anomique,"[('anomique', 's'), ('anomiques', 'p')]",variations en genre et en nombre silencieuses
anonyme,"[('anonyme', 's'), ('anonymes', 'p')]",variations en genre et en nombre silencieuses
anorexique,"[('anorexique', 's'), ('anorexiques', 'p')]",variations en genre et en nombre silencieuses
anormal,"[('anormal', 'ms'), ('anormale', 'fs'), ('anormales', 'fp'), ('anormaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
anoure,"[('anoure', 's'), ('anoures', 'p')]",variations en genre et en nombre silencieuses
ansé,"[('ansé', 'ms'), ('ansée', 'fs'), ('ansées', 'fp'), ('ansés', 'mp')]",variations en genre et en nombre silencieuses
ansériforme,"[('ansériforme', 's'), ('ansériformes', 'p')]",variations en genre et en nombre silencieuses
ansérin,"[('ansérin', 'ms'), ('ansérine', 'fs'), ('ansérines', 'fp'), ('ansérins', 'mp')]",variations en genre audible et en nombre silencieuses
antagonique,"[('antagonique', 's'), ('antagoniques', 'p')]",variations en genre et en nombre silencieuses
antagoniste,"[('antagoniste', 's'), ('antagonistes', 'p')]",variations en genre et en nombre silencieuses
antalgique,"[('antalgique', 's'), ('antalgiques', 'p')]",variations en genre et en nombre silencieuses
antarctique,"[('antarctique', 's'), ('antarctiques', 'p')]",variations en genre et en nombre silencieuses
antenais,"[('antenais', 'm'), ('antenaise', 'fs'), ('antenaises', 'fp')]",variations en genre audible et en nombre silencieuses
anthracite,"[('anthracite', '')]",variations en genre et en nombre silencieuses
anthropique,"[('anthropique', 's'), ('anthropiques', 'p')]",variations en genre et en nombre silencieuses
anthropocentrique,"[('anthropocentrique', 's'), ('anthropocentriques', 'p')]",variations en genre et en nombre silencieuses
anthropologique,"[('anthropologique', 's'), ('anthropologiques', 'p')]",variations en genre et en nombre silencieuses
anthropomorphe,"[('anthropomorphe', 's'), ('anthropomorphes', 'p')]",variations en genre et en nombre silencieuses
anthropomorphique,"[('anthropomorphique', 's'), ('anthropomorphiques', 'p')]",variations en genre et en nombre silencieuses
anthropométrique,"[('anthropométrique', 's'), ('anthropométriques', 'p')]",variations en genre et en nombre silencieuses
anthropoïde,"[('anthropoïde', 's'), ('anthropoïdes', 'p')]",variations en genre et en nombre silencieuses
anti-scientifique,"[('anti-scientifique', 's'), ('anti-scientifiques', 'p')]",variations en genre et en nombre silencieuses
anti-sous-marin,"[('anti-sous-marin', 'ms'), ('anti-sous-marine', 'fs'), ('anti-sous-marines', 'fp'), ('anti-sous-marins', 'mp')]",variations en genre audible et en nombre silencieuses
anti-spam,"[('anti-spam', 's'), ('anti-spams', 'p')]",invariable
antiacide,"[('antiacide', '')]",variations en genre et en nombre silencieuses
antialcoolique,"[('antialcoolique', 's'), ('antialcooliques', 'p')]",variations en genre et en nombre silencieuses
antiallergique,"[('antiallergique', 's'), ('antiallergiques', 'p')]",variations en genre et en nombre silencieuses
