adjectifs,ensembles des traits morpho,catégorie
acnéique,"[('acnéique', 's'), ('acnéiques', 'p')]",variations en genre et en nombre silencieuses
acotylédone,"[('acotylédone', 's'), ('acotylédones', 'p')]",variations en genre et en nombre silencieuses
acoustique,"[('acoustique', 's'), ('acoustiques', 'p')]",variations en genre et en nombre silencieuses
acquis,"[('acquis', 'm'), ('acquise', 'fs'), ('acquises', 'fp')]",variations en genre audible et en nombre silencieuses
acquisitif,"[('acquisitif', 'ms'), ('acquisitifs', 'mp'), ('acquisitive', 'fs'), ('acquisitives', 'fp')]",variations en genre audible et en nombre silencieuses
acquittable,"[('acquittable', 's'), ('acquittables', 'p')]",variations en genre et en nombre silencieuses
acridien,"[('acridien', 'ms'), ('acridienne', 'fs'), ('acridiennes', 'fp'), ('acridiens', 'mp')]",variations en genre audible et en nombre silencieuses
acrimonieux,"[('acrimonieuse', 'fs'), ('acrimonieuses', 'fp'), ('acrimonieux', 'm')]",variations en genre audible et en nombre silencieuses
acrobatique,"[('acrobatique', 's'), ('acrobatiques', 'p')]",variations en genre et en nombre silencieuses
acrocéphale,"[('acrocéphale', 's'), ('acrocéphales', 'p')]",variations en genre et en nombre silencieuses
acrolithe,"[('acrolithe', 's'), ('acrolithes', 'p')]",variations en genre et en nombre silencieuses
acromégale,"[('acromégale', 's'), ('acromégales', 'p')]",variations en genre et en nombre silencieuses
acromégalique,"[('acromégalique', 's'), ('acromégaliques', 'p')]",variations en genre et en nombre silencieuses
acrostiche,"[('acrostiche', 's'), ('acrostiches', 'p')]",variations en genre et en nombre silencieuses
acrylique,"[('acrylique', 's'), ('acryliques', 'p')]",variations en genre et en nombre silencieuses
acteur,"[('acteur', 'ms'), ('acteurs', 'mp'), ('actrice', 'fs'), ('actrices', 'fp')]",invariable
actif,"[('actif', 'ms'), ('actifs', 'mp'), ('active', 'fs'), ('actives', 'fp')]",variations en genre audible et en nombre silencieuses
actinique,"[('actinique', 's'), ('actiniques', 'p')]",variations en genre et en nombre silencieuses
actinomorphe,"[('actinomorphe', 's'), ('actinomorphes', 'p')]",variations en genre et en nombre silencieuses
actinométrique,"[('actinométrique', 's'), ('actinométriques', 'p')]",variations en genre et en nombre silencieuses
actionnable,"[('actionnable', 's'), ('actionnables', 'p')]",variations en genre et en nombre silencieuses
actionnaliste,"[('actionnaliste', 's'), ('actionnalistes', 'p')]",variations en genre et en nombre silencieuses
actionnarial,"[('actionnarial', 'ms'), ('actionnariale', 'fs'), ('actionnariales', 'fp'), ('actionnariaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
activateur,"[('activateur', 'ms'), ('activateurs', 'mp'), ('activatrice', 'fs'), ('activatrices', 'fp')]",invariable
activiste,"[('activiste', 's'), ('activistes', 'p')]",variations en genre et en nombre silencieuses
activé,"[('activé', 'ms'), ('activée', 'fs'), ('activées', 'fp'), ('activés', 'mp')]",variations en genre et en nombre silencieuses
actuariel,"[('actuariel', 'ms'), ('actuarielle', 'fs'), ('actuarielles', 'fp'), ('actuariels', 'mp')]",variations en genre et en nombre silencieuses
actuel,"[('actuel', 'ms'), ('actuelle', 'fs'), ('actuelles', 'fp'), ('actuels', 'mp')]",variations en genre et en nombre silencieuses
aculéiforme,"[('aculéiforme', 's'), ('aculéiformes', 'p')]",variations en genre et en nombre silencieuses
acuminé,"[('acuminé', 'ms'), ('acuminée', 'fs'), ('acuminées', 'fp'), ('acuminés', 'mp')]",variations en genre et en nombre silencieuses
acutangle,"[('acutangle', 's'), ('acutangles', 'p')]",variations en genre et en nombre silencieuses
acyclique,"[('acyclique', 's'), ('acycliques', 'p')]",variations en genre et en nombre silencieuses
acéphale,"[('acéphale', 's'), ('acéphales', 'p')]",variations en genre et en nombre silencieuses
