adjectifs,ensembles des traits morpho,catégorie
alcalescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alcalifiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alcalin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alcalinisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alcaïque,"{'s', 'p'}",Varie en nombre
alchimique,"{'s', 'p'}",Varie en nombre
alcoolique,"{'s', 'p'}",Varie en nombre
alcoolisable,"{'s', 'p'}",Varie en nombre
alcoolisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aldin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aldéhydique,"{'s', 'p'}",Varie en nombre
alerte,"{'s', 'p'}",Varie en nombre
alexandrin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alezan,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alfatier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
algide,"{'s', 'p'}",Varie en nombre
algique,"{'s', 'p'}",Varie en nombre
algonquin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
algorithmique,"{'s', 'p'}",Varie en nombre
algébrique,"{'s', 'p'}",Varie en nombre
algérien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
algérois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
aliforme,"{'s', 'p'}",Varie en nombre
alifère,"{'s', 'p'}",Varie en nombre
aligoté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alimentaire,"{'s', 'p'}",Varie en nombre
aliphatique,"{'s', 'p'}",Varie en nombre
aliquant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aliquot,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alizé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aliénable,"{'s', 'p'}",Varie en nombre
aliénant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aliéniste,"{'s', 'p'}",Varie en nombre
aliéné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allaitant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allemand,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aller-retour,{''},Ne varie pas en genre et en nombre
allergique,"{'s', 'p'}",Varie en nombre
allergisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alliable,"{'s', 'p'}",Varie en nombre
alliacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allocentriste,"{'s', 'p'}",Varie en nombre
allochtone,"{'s', 'p'}",Varie en nombre
allodial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allogène,"{'s', 'p'}",Varie en nombre
allongeable,"{'s', 'p'}",Varie en nombre
allongé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allopathe,"{'s', 'p'}",Varie en nombre
allopathique,"{'s', 'p'}",Varie en nombre
allostérique,"{'s', 'p'}",Varie en nombre
allotropique,"{'s', 'p'}",Varie en nombre
allouable,"{'s', 'p'}",Varie en nombre
allumant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allumettier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
allumeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
allumé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alluré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allusif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
alluvial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alluvionnaire,"{'s', 'p'}",Varie en nombre
allylique,"{'s', 'p'}",Varie en nombre
allègre,"{'s', 'p'}",Varie en nombre
allèle,"{'s', 'p'}",Varie en nombre
alléchant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allégeant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allégorique,"{'s', 'p'}",Varie en nombre
allégé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
allélomorphe,"{'s', 'p'}",Varie en nombre
alogique,"{'s', 'p'}",Varie en nombre
alourdissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alpestre,"{'s', 'p'}",Varie en nombre
alpha,{''},Ne varie pas en genre et en nombre
alphabète,"{'s', 'p'}",Varie en nombre
alphabétique,"{'s', 'p'}",Varie en nombre
alphanumérique,"{'s', 'p'}",Varie en nombre
alpin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alsacien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
altaïque,"{'s', 'p'}",Varie en nombre
alternant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alternatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
alterne,"{'s', 'p'}",Varie en nombre
alterné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
altier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
altimontain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
altogovien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
altruiste,"{'s', 'p'}",Varie en nombre
altérable,"{'s', 'p'}",Varie en nombre
altéragène,"{'s', 'p'}",Varie en nombre
altérant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
altéré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alumineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
alunifère,"{'s', 'p'}",Varie en nombre
alvin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alvéolaire,"{'s', 'p'}",Varie en nombre
alvéolé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aléatoire,"{'s', 'p'}",Varie en nombre
alémanique,"{'s', 'p'}",Varie en nombre
alénois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
aléseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
alésien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alésé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amaigri,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amaigrissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amarante,{''},Ne varie pas en genre et en nombre
amaril,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amarnien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amateur,"{'s', 'p'}",Varie en nombre
amaurotique,"{'s', 'p'}",Varie en nombre
amazonien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambassadorial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambidextre,"{'s', 'p'}",Varie en nombre
ambigu,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
ambisexué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambitieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
ambivalent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambleur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
amblyope,"{'s', 'p'}",Varie en nombre
ambrosien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambulancier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
ambulant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ambulatoire,"{'s', 'p'}",Varie en nombre
amendable,"{'s', 'p'}",Varie en nombre
amentifère,"{'s', 'p'}",Varie en nombre
amer,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
amharique,"{'s', 'p'}",Varie en nombre
ami,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amiable,"{'s', 'p'}",Varie en nombre
amibien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amiboïde,"{'s', 'p'}",Varie en nombre
amical,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amidonnier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
amincissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aminé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amiral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amiénois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
ammoniac,"{'s', 'p'}",Varie en nombre
ammoniacal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ammophile,"{'s', 'p'}",Varie en nombre
amniotique,"{'s', 'p'}",Varie en nombre
amnistiable,"{'s', 'p'}",Varie en nombre
amnistiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amnistié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amnésique,"{'s', 'p'}",Varie en nombre
amoindrissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amollissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amoral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amoraliste,"{'s', 'p'}",Varie en nombre
amorphe,"{'s', 'p'}",Varie en nombre
amorti,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amortissable,"{'s', 'p'}",Varie en nombre
amortisseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
amoureux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
amovible,"{'s', 'p'}",Varie en nombre
amphibie,"{'s', 'p'}",Varie en nombre
amphibologique,"{'s', 'p'}",Varie en nombre
amphictyonique,"{'s', 'p'}",Varie en nombre
amphigourique,"{'s', 'p'}",Varie en nombre
amphipode,"{'s', 'p'}",Varie en nombre
amphotère,"{'s', 'p'}",Varie en nombre
ample,"{'s', 'p'}",Varie en nombre
amplectif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
ampliatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
amplifiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amplificateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
amplifié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ampoulé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ampullaire,"{'s', 'p'}",Varie en nombre
amputé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amstellodamien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amstellodamois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
amusant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amusé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amylacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
amylique,"{'s', 'p'}",Varie en nombre
amène,"{'s', 'p'}",Varie en nombre
améliorable,"{'s', 'p'}",Varie en nombre
améliorant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aménageable,"{'s', 'p'}",Varie en nombre
américain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
américaniste,"{'s', 'p'}",Varie en nombre
américanophile,"{'s', 'p'}",Varie en nombre
amérindien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
améthyste,{''},Ne varie pas en genre et en nombre
amétrope,"{'s', 'p'}",Varie en nombre
anabaptiste,"{'s', 'p'}",Varie en nombre
anabolisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anachorétique,"{'s', 'p'}",Varie en nombre
anachronique,"{'s', 'p'}",Varie en nombre
anacréontique,"{'s', 'p'}",Varie en nombre
anaglyptique,"{'s', 'p'}",Varie en nombre
anagogique,"{'s', 'p'}",Varie en nombre
anagrammatique,"{'s', 'p'}",Varie en nombre
anal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
analeptique,"{'s', 'p'}",Varie en nombre
analgésique,"{'s', 'p'}",Varie en nombre
anallergique,"{'s', 'p'}",Varie en nombre
analogique,"{'s', 'p'}",Varie en nombre
analogue,"{'s', 'p'}",Varie en nombre
analphabète,"{'s', 'p'}",Varie en nombre
analysable,"{'s', 'p'}",Varie en nombre
analytique,"{'s', 'p'}",Varie en nombre
anaphorique,"{'s', 'p'}",Varie en nombre
anaphrodisiaque,"{'s', 'p'}",Varie en nombre
anaphylactique,"{'s', 'p'}",Varie en nombre
anarchique,"{'s', 'p'}",Varie en nombre
anarchisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anarchiste,"{'s', 'p'}",Varie en nombre
anarcho-syndicaliste,"{'s', 'p'}",Varie en nombre
anastigmat,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anastomosé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anathème,"{'s', 'p'}",Varie en nombre
anatolien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anatomique,"{'s', 'p'}",Varie en nombre
anaérobie,"{'s', 'p'}",Varie en nombre
ancestral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ancien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ancillaire,"{'s', 'p'}",Varie en nombre
andalou,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
andin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
andorran,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
andouille,{''},Ne varie pas en genre et en nombre
androcéphale,"{'s', 'p'}",Varie en nombre
androgyne,"{'s', 'p'}",Varie en nombre
androgène,"{'s', 'p'}",Varie en nombre
androïde,"{'s', 'p'}",Varie en nombre
anecdotique,"{'s', 'p'}",Varie en nombre
anesthésiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anesthésique,"{'s', 'p'}",Varie en nombre
angevin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
angineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
anglais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
anglican,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anglicisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anglo-arabe,"{'s', 'p'}",Varie en nombre
anglo-normand,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anglo-saxon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anglomane,"{'s', 'p'}",Varie en nombre
anglophile,"{'s', 'p'}",Varie en nombre
anglophobe,"{'s', 'p'}",Varie en nombre
anglophone,"{'s', 'p'}",Varie en nombre
angoissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
angoissé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
angolais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
angora,"{'', 'p'}",Ne varie pas en nombre
angoumois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
anguiforme,"{'s', 'p'}",Varie en nombre
angulaire,"{'s', 'p'}",Varie en nombre
anguleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
angustifolié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
angélique,"{'s', 'p'}",Varie en nombre
anharmonique,"{'s', 'p'}",Varie en nombre
anhydre,"{'s', 'p'}",Varie en nombre
anictérique,"{'s', 'p'}",Varie en nombre
animal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
animalier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
animiste,"{'s', 'p'}",Varie en nombre
animé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anisotrope,"{'s', 'p'}",Varie en nombre
anisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ankylosant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ankylosé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
annal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
annamite,"{'s', 'p'}",Varie en nombre
annelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
annexe,"{'s', 'p'}",Varie en nombre
annexionniste,"{'s', 'p'}",Varie en nombre
anniversaire,"{'s', 'p'}",Varie en nombre
annonciateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
annuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
annulable,"{'s', 'p'}",Varie en nombre
annulaire,"{'s', 'p'}",Varie en nombre
annécien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anobli,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anoblissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anodin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anodonte,"{'s', 'p'}",Varie en nombre
anomal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anomique,"{'s', 'p'}",Varie en nombre
anonyme,"{'s', 'p'}",Varie en nombre
anorexique,"{'s', 'p'}",Varie en nombre
anormal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anoure,"{'s', 'p'}",Varie en nombre
ansé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ansériforme,"{'s', 'p'}",Varie en nombre
ansérin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antagonique,"{'s', 'p'}",Varie en nombre
antagoniste,"{'s', 'p'}",Varie en nombre
antalgique,"{'s', 'p'}",Varie en nombre
antarctique,"{'s', 'p'}",Varie en nombre
antenais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
anthracite,{''},Ne varie pas en genre et en nombre
anthropique,"{'s', 'p'}",Varie en nombre
anthropocentrique,"{'s', 'p'}",Varie en nombre
anthropologique,"{'s', 'p'}",Varie en nombre
anthropomorphe,"{'s', 'p'}",Varie en nombre
anthropomorphique,"{'s', 'p'}",Varie en nombre
anthropométrique,"{'s', 'p'}",Varie en nombre
anthropoïde,"{'s', 'p'}",Varie en nombre
anti-scientifique,"{'s', 'p'}",Varie en nombre
anti-sous-marin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anti-spam,"{'s', 'p'}",Varie en nombre
antiacide,{''},Ne varie pas en genre et en nombre
antialcoolique,"{'s', 'p'}",Varie en nombre
antiallergique,"{'s', 'p'}",Varie en nombre
antiamaril,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antiasthmatique,"{'s', 'p'}",Varie en nombre
antiatomique,"{'s', 'p'}",Varie en nombre
antiaérien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antibiotique,"{'s', 'p'}",Varie en nombre
antibrouillard,{''},Ne varie pas en genre et en nombre
antibrouillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antibruit,{''},Ne varie pas en genre et en nombre
anticancéreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
anticapitaliste,"{'s', 'p'}",Varie en nombre
anticasseur,"{'s', 'p'}",Varie en nombre
anticasseurs,{''},Ne varie pas en genre et en nombre
antichar,"{'s', 'p'}",Varie en nombre
anticipant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticipateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
anticipatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
anticipatoire,"{'s', 'p'}",Varie en nombre
anticipé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticlinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticlérical,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticoagulant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticolonialiste,"{'s', 'p'}",Varie en nombre
anticommuniste,"{'s', 'p'}",Varie en nombre
anticonceptionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticonformiste,"{'s', 'p'}",Varie en nombre
anticonjoncturel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticonstitutionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticryptogamique,"{'s', 'p'}",Varie en nombre
anticyclique,"{'s', 'p'}",Varie en nombre
anticyclonal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
anticyclonique,"{'s', 'p'}",Varie en nombre
antidaté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antidiphtérique,"{'s', 'p'}",Varie en nombre
antidopage,{''},Ne varie pas en genre et en nombre
antidéflagrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antidémocratique,"{'s', 'p'}",Varie en nombre
antidépresseur,"{'s', 'p'}",Varie en nombre
antidérapant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antidétonant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antiesclavagiste,"{'s', 'p'}",Varie en nombre
antifasciste,"{'s', 'p'}",Varie en nombre
antigang,{''},Ne varie pas en genre et en nombre
antigel,"{'s', 'p'}",Varie en nombre
antigouvernemental,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antigravitationnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antigrippe,{''},Ne varie pas en genre et en nombre
antihalo,{''},Ne varie pas en genre et en nombre
antihausse,{''},Ne varie pas en genre et en nombre
antihistaminique,"{'s', 'p'}",Varie en nombre
antihygiénique,"{'s', 'p'}",Varie en nombre
antilacet,{''},Ne varie pas en genre et en nombre
antilibéral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antilithique,"{'s', 'p'}",Varie en nombre
antillais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
antilope,{''},Ne varie pas en genre et en nombre
antimigraineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
antimilitariste,"{'s', 'p'}",Varie en nombre
antimissile,"{'s', 'p'}",Varie en nombre
antimite,"{'', 'p'}",Ne varie pas en nombre
antimitotique,"{'s', 'p'}",Varie en nombre
antimonarchique,"{'s', 'p'}",Varie en nombre
antimonarchiste,"{'s', 'p'}",Varie en nombre
antimonial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antimycotique,"{'s', 'p'}",Varie en nombre
antinational,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antinaturel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antinazi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antinomique,"{'s', 'p'}",Varie en nombre
antinucléaire,"{'s', 'p'}",Varie en nombre
antinévralgique,"{'s', 'p'}",Varie en nombre
antioxydant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antipaludique,"{'s', 'p'}",Varie en nombre
antipaludéen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antiparallèle,"{'s', 'p'}",Varie en nombre
antiparasite,"{'s', 'p'}",Varie en nombre
antiparlementaire,"{'s', 'p'}",Varie en nombre
antiparti,{''},Ne varie pas en genre et en nombre
antipathique,"{'s', 'p'}",Varie en nombre
antipatriotique,"{'s', 'p'}",Varie en nombre
antipersonnel,{''},Ne varie pas en genre et en nombre
antiphlogistique,"{'s', 'p'}",Varie en nombre
antipoison,{''},Ne varie pas en genre et en nombre
antipoliomyélitique,"{'s', 'p'}",Varie en nombre
antipollution,{''},Ne varie pas en genre et en nombre
antipyrétique,"{'s', 'p'}",Varie en nombre
antipéristaltique,"{'s', 'p'}",Varie en nombre
antique,"{'s', 'p'}",Varie en nombre
antirabique,"{'s', 'p'}",Varie en nombre
antirachitique,"{'s', 'p'}",Varie en nombre
antiraciste,"{'s', 'p'}",Varie en nombre
antiradar,{''},Ne varie pas en genre et en nombre
antiradiation,{''},Ne varie pas en genre et en nombre
antirationnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
antireflet,{''},Ne varie pas en genre et en nombre
